net1,stn1,net2,stn2,dist_km,technique,converged,best_delta_km_s,bad_quality_fraction,n_candidate_crossings,n_accepted_picks,freq_coverage_fraction,mean_amp_ratio,n_templates_converged,n_templates_scanned,matlab_coh_num,matlab_rel_l2_error,runtime_s,error
AF,SKRH,XV,ANTS,947.5732416175398,single-taper,False,,0.6755808855765015,2281,11,0.0,1.3831866029740096,0,33,1605.0,3.66427861730704e-09,691.8348851203918,
AF,SKRH,XV,BAEL,1013.653280762859,FastMspec,False,,0.9683698296836983,411,4,0.0,28.957511723042636,0,33,1605.0,0.05259380778308029,914.0933084487915,
AF,SKRH,XV,BAEL,1013.653280762859,Mspec,False,,0.9652777777777778,144,19,0.0,9.978718986985145,0,33,,,2071.0514743328094,
AF,SKRH,XV,BAEL,1013.653280762859,MspecBestK,False,,0.9773242630385488,441,4,0.0,30.185970612437394,0,33,,,929.5340394973755,
AF,SKRH,XV,BAEL,1013.653280762859,single-taper,False,,0.6678476527900797,2258,12,0.0,1.338209496289948,0,33,1605.0,3.238165335532127e-09,385.07726645469666,
AF,SKRH,XV,BAND,290.2947750643846,FastMspec,True,-0.2999999999999996,0.7881040892193308,269,285,0.3037974683544304,5.153341501066874,17,33,1605.0,0.03056129916330154,1078.1693785190582,
AF,SKRH,XV,BAND,290.2947750643846,Mspec,False,,0.9815950920245399,163,0,0.0,102.08837662861848,0,33,,,2011.8782722949982,
AF,SKRH,XV,BAND,290.2947750643846,MspecBestK,True,-0.34999999999999964,0.8067796610169492,295,288,0.3037974683544304,8.12836885286331,9,33,,,969.2855579853058,
AF,SKRH,XV,BAND,290.2947750643846,single-taper,False,,0.6803874092009685,2065,3,0.0,1.4933249819987677,0,33,1605.0,3.0670060814165378e-09,355.8173415660858,
AF,SKRH,XV,BANJ,1094.0439843430574,FastMspec,False,,0.9758454106280193,414,2,0.0,166.2332895517176,0,33,1545.0,0.03570774898012619,870.7720501422882,
AF,SKRH,XV,BANJ,1094.0439843430574,Mspec,False,,0.9945652173913043,184,0,0.0,14.87084238024547,0,33,,,2269.600275039673,
AF,SKRH,XV,BANJ,1094.0439843430574,MspecBestK,False,,0.9679802955665024,406,2,0.0,190.47666649249075,0,33,,,884.6090896129608,
AF,SKRH,XV,BANJ,1094.0439843430574,single-taper,False,,0.6528066528066528,2405,4,0.0,1.4853464773762346,0,33,1545.0,1.6145240596957382e-09,333.2213840484619,
AF,SKRH,XV,BARY,665.471477987395,FastMspec,False,,0.948849104859335,391,0,0.0,,0,33,1605.0,0.04568746507009998,856.9099252223969,
AF,SKRH,XV,BARY,665.471477987395,Mspec,False,,0.9960159362549801,251,0,0.0,,0,33,,,2068.0279774665833,
AF,SKRH,XV,BARY,665.471477987395,MspecBestK,False,,0.9453681710213777,421,0,0.0,,0,33,,,890.1404941082001,
AF,SKRH,XV,BARY,665.471477987395,single-taper,False,,0.6410256410256411,2184,4,0.0,2.151903292026667,0,33,1605.0,3.3647998368909808e-09,637.0862195491791,
